SITE,STAGE,TRANSECT_POINT,NORTHING,EASTING,ENVIRON,DIST_FPL,LOCATION,CAT_Z,CLASS_Z,ACTUAL_Z,FP_Z,DATE,D13C_CH4,D13C_CO2,WATER_T,KH_O2,DT_DZ,WATER_TK,COND,PH,WIND_ONSITE,ORP,REDOX_ORP,CHL,O2_PERCENT,O2,DO2_DZ,DIC,PCO2,DPCO2_DZ,PCH4,DPCH4_DZ,PN2O,KH_PCO2,KH_PCH4,KH_PN2O,D13C_DIC,D18O_O2,O2_Ar,MOX,MPROD,MCARB,INUN_T
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,5,Bottom,4.5,5.5,10/4/15 0:00,-89.624,-34.633,29.88,1.18078,0,303.03,0.013,6.9,0.5,111.2,Sulfate reduction,3.5,46.9,3.55,-0.029269294,NA,9584.218,-615.5186744,8.02,-0.690048169,NA,0.029886441,0.001305,0.021186302,-16.09,26.76,10.66,-3.45,-3.45,-2.59,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,3.93,2.95,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,5.1,3.82,365
AnRe.1,High,1,12.65388,104.16687,Pelagic,-1960,Central,6,Sediment,5.5,5.5,10/4/15 0:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,3.59,2.69,365
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,Surface,0.1,4,10/4/15 0:00,-14.181,-30.402,30.31,1.18078,-0.278803172,303.46,0.01,7.34,1.5,136,Sulfate reduction,7.5,40,3,-0.875666907,NA,4067.626,1462.430994,207.81,7561.995302,NA,0.029568249,0.001296,0.020946153,-16.56,24.78,3.94,-20.64,-20.64,-15.45,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,Surface,0.1,4,10/4/15 0:00,-16.516,-28.773,30.31,1.18078,-0.278803172,303.46,0.01,7.34,1.5,136,Sulfate reduction,7.5,40,3,-0.875666907,NA,3848.666,1462.430994,212.04,7561.995302,NA,0.029568249,0.001296,0.020946153,-16.26,24.96,4.33,-7.12,-7.12,-5.33,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,1,Surface,0.1,4,10/4/15 0:00,-20.229,-28.929,30.31,1.18078,-0.278803172,303.46,0.01,7.34,1.5,136,Sulfate reduction,7.5,40,3,-0.875666907,NA,3645.865,1462.430994,182.39,7561.995302,NA,0.029568249,0.001296,0.020946153,NA,NA,NA,-19.39,-19.39,-14.52,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,2,NA,0.5,4,10/4/15 0:00,-10.735,-35.303,30.05,1.18078,-0.278803172,303.2,0.01,7.17,1.5,110,Sulfate reduction,7.7,23.1,1.75,-0.875666907,NA,4068.225,1462.430994,185.16,7561.995302,NA,0.029759969,0.001302,0.021090843,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,2,NA,0.5,4,10/4/15 0:00,-10.672,-35.225,30.05,1.18078,-0.278803172,303.2,0.01,7.17,1.5,110,Sulfate reduction,7.7,23.1,1.75,-0.875666907,NA,3738.188,1462.430994,177.36,7561.995302,NA,0.029759969,0.001302,0.021090843,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,2,NA,0.5,4,10/4/15 0:00,-8.878,-25.513,30.05,1.18078,-0.278803172,303.2,0.01,7.17,1.5,110,Sulfate reduction,7.7,23.1,1.75,-0.875666907,NA,3828.719,1462.430994,196.97,7561.995302,NA,0.029759969,0.001302,0.021090843,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,3,NA,1,4,10/4/15 0:00,-47.969,-39.081,29.96,1.18078,-0.278803172,303.11,0.01,7.01,1.5,107.2,Sulfate reduction,5.7,13.5,1.02,-0.875666907,NA,6515.956,1462.430994,3463.88,7561.995302,NA,0.029826814,0.001303,0.021141296,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,3,NA,1,4,10/4/15 0:00,-47.96,-37.953,29.96,1.18078,-0.278803172,303.11,0.01,7.01,1.5,107.2,Sulfate reduction,5.7,13.5,1.02,-0.875666907,NA,7008.27,1462.430994,3620.72,7561.995302,NA,0.029826814,0.001303,0.021141296,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,3,NA,1,4,10/4/15 0:00,-48.054,-38.593,29.96,1.18078,-0.278803172,303.11,0.01,7.01,1.5,107.2,Sulfate reduction,5.7,13.5,1.02,-0.875666907,NA,7405.364,1462.430994,2640.61,7561.995302,NA,0.029826814,0.001303,0.021141296,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,4,NA,2,4,10/4/15 0:00,-37.726,-37.424,29.83,1.18078,-0.278803172,302.98,0.01,6.58,1.5,-186.3,Sulfate reduction,8.4,3.4,0.26,-0.875666907,NA,5457.583,1462.430994,197.17,7561.995302,NA,0.029923807,0.001306,0.021214508,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,4,NA,2,4,10/4/15 0:00,-15.591,-36.73,29.83,1.18078,-0.278803172,302.98,0.01,6.58,1.5,-186.3,Sulfate reduction,8.4,3.4,0.26,-0.875666907,NA,5713.796,1462.430994,98.76,7561.995302,NA,0.029923807,0.001306,0.021214508,NA,NA,NA,NA,NA,NA,310
AnRe.2,High,2,12.65222,104.14899,Edge,0,Central,4,NA,2,4,10/4/15 0:00,-12.121,-30.629,29.83,1.18078,-0.278803172,302.98,0.01,6.58,1.5,-186.3,Sulfate reduction,8.4,3.4,0.26,-0.875666907,NA,5699.3,1462.430994,135.42,7561.995302,NA,0.029923807,0.001306,0.021214508,NA,NA,NA,NA,NA,NA,310
