"","f1","f2","f3","f4","f5","f6","f7","f8"
"121",0,0,0,0.05,0.05,0.15,0.25,0.5
"122",0,0,0,0.05,0.05,0.15,0.3,0.45
"123",0,0,0,0.05,0.05,0.15,0.35,0.4
"124",0,0,0,0.05,0.05,0.2,0.2,0.5
"125",0,0,0,0.05,0.05,0.2,0.25,0.45
"126",0,0,0,0.05,0.05,0.2,0.3,0.4
"127",0,0,0,0.05,0.05,0.25,0.25,0.4
"128",0,0,0,0.05,0.05,0.25,0.3,0.35
"129",0,0,0,0.05,0.05,0.3,0.3,0.3
"130",0,0,0,0.05,0.1,0.1,0.1,0.65
"131",0,0,0,0.05,0.1,0.1,0.15,0.6
"132",0,0,0,0.05,0.1,0.1,0.2,0.55
"133",0,0,0,0.05,0.1,0.1,0.25,0.5
"134",0,0,0,0.05,0.1,0.1,0.3,0.45
"135",0,0,0,0.05,0.1,0.1,0.35,0.4
"136",0,0,0,0.05,0.1,0.15,0.15,0.55
"137",0,0,0,0.05,0.1,0.15,0.2,0.5
"138",0,0,0,0.05,0.1,0.15,0.25,0.45
"139",0,0,0,0.05,0.1,0.15,0.3,0.4
"140",0,0,0,0.05,0.1,0.2,0.2,0.45
"141",0,0,0,0.05,0.1,0.2,0.25,0.4
"142",0,0,0,0.05,0.1,0.25,0.25,0.35
"143",0,0,0,0.05,0.1,0.25,0.3,0.3
"144",0,0,0,0.05,0.15,0.15,0.15,0.5
"145",0,0,0,0.05,0.15,0.15,0.2,0.45
"146",0,0,0,0.05,0.15,0.15,0.25,0.4
"147",0,0,0,0.05,0.15,0.2,0.2,0.4
"148",0,0,0,0.05,0.15,0.2,0.25,0.35
"149",0,0,0,0.05,0.15,0.2,0.3,0.3
"150",0,0,0,0.05,0.15,0.25,0.25,0.3
"151",0,0,0,0.05,0.2,0.2,0.2,0.35
"152",0,0,0,0.05,0.2,0.2,0.25,0.3
"153",0,0,0,0.05,0.2,0.25,0.25,0.25
"154",0,0,0,0.1,0.1,0.1,0.1,0.6
"155",0,0,0,0.1,0.1,0.1,0.15,0.55
"156",0,0,0,0.1,0.1,0.1,0.2,0.5
"157",0,0,0,0.1,0.1,0.1,0.25,0.45
"158",0,0,0,0.1,0.1,0.1,0.3,0.4
"159",0,0,0,0.1,0.1,0.15,0.15,0.5
"160",0,0,0,0.1,0.1,0.15,0.2,0.45
"161",0,0,0,0.1,0.1,0.15,0.25,0.4
"162",0,0,0,0.1,0.1,0.2,0.2,0.4
"163",0,0,0,0.1,0.1,0.2,0.25,0.35
"164",0,0,0,0.1,0.1,0.2,0.3,0.3
"165",0,0,0,0.1,0.1,0.25,0.25,0.3
"166",0,0,0,0.1,0.15,0.15,0.15,0.45
"167",0,0,0,0.1,0.15,0.15,0.2,0.4
"168",0,0,0,0.1,0.15,0.15,0.25,0.35
"169",0,0,0,0.1,0.15,0.15,0.3,0.3
"170",0,0,0,0.1,0.15,0.2,0.2,0.35
"171",0,0,0,0.1,0.15,0.2,0.25,0.3
"172",0,0,0,0.1,0.15,0.25,0.25,0.25
"173",0,0,0,0.1,0.2,0.2,0.2,0.3
